brand,name,tag,sex,price,size,view,buy,like,review,url
아식스,[무료반품] 젤-1130 MSS SMU - 스틸 그레이:퓨어 실버 / 1201A934-020,"['무신사SMU', 'SMU', '젤1130', '아식스젤시리즈', '젤스니커즈', '젤운동화', '아식스러닝화', '아식스런닝화', '패션스니커즈', '젠더리스']","남성, 여성","109,000원",['290'],3.4만 회 이상,"10,463","10,463","1,043",https://www.musinsa.com/app/goods/3392006
뉴발란스,NBPDDF706W / MR530WBV (WHITE),['MR530'],,"149,000원","[{'(10)WHITE': ['220', '225', '230', '235', '255', '260', '265', '270', '275']}]",2.7만 회 이상,450 개 이상,"2,419",79,https://www.musinsa.com/app/goods/3724088
비씨씨,AA01_BK,"['스니커즈', '러닝화', '운동화', '신발', '운동화추천', '오솔라이트', '신학기추천템', 'AA01', '아울렛']","남성, 여성","53,500원","[{'BLACK': ['230', '235', '240', '245', '250', '255(3개 남음)']}]",400 회 이상,250 개 이상,856,85,https://www.musinsa.com/app/goods/2326322
커스텀에이드,3cm 소가죽 에센셜 스니커즈 아론(CR0040),"['화이트', '단화', '레더', '클래식', '커플', '미니멀', '화이트스니커즈']","남성, 여성","89,800원","[{'화이트': ['230', '240', '250', '260', '270', '280']}]",900 회 이상,200 개 이상,"1,591",390,https://www.musinsa.com/app/goods/1900778
스코노,모로 오리지널 베이지,"['운동화', '슈즈', '남성스포츠화', '여성스포츠화', '런닝화', '스니커즈', '라이프스타일']",,"59,000원","['220', '230', '260(2개남음)']",1.1천 회 이상,50개 이상,"1,678",119,https://www.musinsa.com/app/goods/1273443
커버낫,모노 민트,"['스니커즈', '캔버스화', '캔버스', '운동화', '신발', '연말선물추천', '아울렛', '클리어런스특가', '추천상품']","남성, 여성","35,600원","['230', '240(5개남음)', '260', '270']",700 회 이상,50개 미만,"1,109",83,https://www.musinsa.com/app/goods/1778736
디스커버리 익스페디션,[무료반품] 조거 플렉스 (PINK),"['디스커버리운동화', '디스커버리슈즈', '디스커버리신발', '키높이운동화', '발편한운동화', '어글리슈즈', '러닝화']",여성,"109,000원","['225', '230(2개남음)', '235', '240', '245', '250']",2천 회 이상,300 개 이상,"2,995",196,https://www.musinsa.com/app/goods/2413767
아디다스,토바코 Gruen GX6941,[],,"139,000원",['220'],3.4만 회 이상,900 개 이상,"4,108",222,https://www.musinsa.com/app/goods/3735417
컨버스,척 70 시즈널 컬러 언차티드 워터스 A04589C,"['신발', '스니커즈', '척70', '척70시즈널컬러', '시즈널컬러', '척70시즈널']","남성, 여성","79,200원","['220', '225', '230', '235', '240', '245', '250', '255', '260', '265', '270', '275', '280']",2.2천 회 이상,150 개 이상,"1,997",51,https://www.musinsa.com/app/goods/3387765
반스,센트리 올드스쿨 WC - (하이커 스웨이드) 마쉬멜로우:블랙 / VN0A5KR3KIG1,"['올드스쿨', '스웨이드스니커즈', '스웨이드운동화', '반스스웨이드', '플랫폼', '아울렛', '추천상품']","남성, 여성","59,900원","['295', '310']",1.1만 회 이상,4.3천 개 이상,"12,207","1,557",https://www.musinsa.com/app/goods/2839677
